detector,cls_max,cls_mean,cls_std,cls_token_pca,cls_token_raw,diag_mean,head_entropy,cls_max+cls_std,cls_max+diag_mean,cls_max+head_entropy,cls_mean+cls_max,cls_mean+cls_std,cls_mean+diag_mean,cls_mean+head_entropy,cls_std+diag_mean,cls_std+head_entropy,cls_token_pca+cls_max,cls_token_pca+cls_mean,cls_token_pca+cls_std,cls_token_pca+diag_mean,cls_token_pca+head_entropy,head_entropy+diag_mean,cls_max+cls_std+diag_mean,cls_max+cls_std+head_entropy,cls_max+head_entropy+diag_mean,cls_mean+cls_max+cls_std,cls_mean+cls_max+diag_mean,cls_mean+cls_max+head_entropy,cls_mean+cls_std+diag_mean,cls_mean+cls_std+head_entropy,cls_mean+head_entropy+diag_mean,cls_std+head_entropy+diag_mean,cls_token_pca+cls_max+cls_std,cls_token_pca+cls_max+diag_mean,cls_token_pca+cls_max+head_entropy,cls_token_pca+cls_mean+cls_max,cls_token_pca+cls_mean+cls_std,cls_token_pca+cls_mean+diag_mean,cls_token_pca+cls_mean+head_entropy,cls_token_pca+cls_std+diag_mean,cls_token_pca+cls_std+head_entropy,cls_token_pca+head_entropy+diag_mean,cls_max+cls_std+head_entropy+diag_mean,cls_mean+cls_max+cls_std+diag_mean,cls_mean+cls_max+cls_std+head_entropy,cls_mean+cls_max+head_entropy+diag_mean,cls_mean+cls_std+head_entropy+diag_mean,cls_token_pca+cls_max+cls_std+diag_mean,cls_token_pca+cls_max+cls_std+head_entropy,cls_token_pca+cls_max+head_entropy+diag_mean,cls_token_pca+cls_mean+cls_max+cls_std,cls_token_pca+cls_mean+cls_max+diag_mean,cls_token_pca+cls_mean+cls_max+head_entropy,cls_token_pca+cls_mean+cls_std+diag_mean,cls_token_pca+cls_mean+cls_std+head_entropy,cls_token_pca+cls_mean+head_entropy+diag_mean,cls_token_pca+cls_std+head_entropy+diag_mean,cls_mean+cls_max+cls_std+head_entropy+diag_mean,cls_token_pca+cls_max+cls_std+head_entropy+diag_mean,cls_token_pca+cls_mean+cls_max+cls_std+diag_mean,cls_token_pca+cls_mean+cls_max+cls_std+head_entropy,cls_token_pca+cls_mean+cls_max+head_entropy+diag_mean,cls_token_pca+cls_mean+cls_std+head_entropy+diag_mean,cls_token_pca+cls_mean+cls_max+cls_std+head_entropy+diag_mean
LOF,0.0986,0.1769,0.1235,0.2177,0.2159,0.1482,0.2139,0.1119,0.1093,0.1348,0.1022,0.1062,0.1484,0.1898,0.1303,0.1501,0.2041,0.2167,0.2161,0.2246,0.2026,0.1891,0.1138,0.1371,0.1283,0.1050,0.1127,0.1257,0.1262,0.1312,0.1829,0.1403,0.2192,0.2241,0.2049,0.2176,0.2219,0.2278,0.2076,0.2351,0.2108,0.2182,0.1279,0.1125,0.1234,0.1256,0.1331,0.2363,0.2144,0.2197,0.2268,0.2328,0.2130,0.2371,0.2173,0.2196,0.2277,0.1243,0.2276,0.2333,0.2217,0.2254,0.2291,0.2277
DeepSVDD,0.0943 ± 0.0035,0.2051 ± 0.0278,0.1326 ± 0.0141,0.0892 ± 0.0172,0.1433 ± 0.0490,0.1146 ± 0.0154,0.0922 ± 0.0096,0.1304 ± 0.0367,0.1110 ± 0.0362,0.1094 ± 0.0249,0.1328 ± 0.0282,0.1620 ± 0.0448,0.1413 ± 0.0422,0.1153 ± 0.0189,0.1342 ± 0.0488,0.1194 ± 0.0270,0.1602 ± 0.0193,0.1716 ± 0.0024,0.1761 ± 0.0098,0.1588 ± 0.0241,0.1643 ± 0.0831,0.1194 ± 0.0223,0.1174 ± 0.0113,0.1018 ± 0.0112,0.0982 ± 0.0146,0.1133 ± 0.0137,0.1222 ± 0.0102,0.0996 ± 0.0094,0.1353 ± 0.0097,0.1154 ± 0.0124,0.1062 ± 0.0105,0.1060 ± 0.0173,0.1924 ± 0.0927,0.1806 ± 0.0899,0.2342 ± 0.1463,0.2125 ± 0.1195,0.2191 ± 0.1195,0.2025 ± 0.1143,0.2507 ± 0.1736,0.2044 ± 0.1192,0.2601 ± 0.1770,0.1490 ± 0.0602,0.1071 ± 0.0178,0.1193 ± 0.0254,0.1296 ± 0.0021,0.1038 ± 0.0195,0.1219 ± 0.0287,0.1729 ± 0.0670,0.1605 ± 0.0552,0.1758 ± 0.0432,0.1677 ± 0.0423,0.1750 ± 0.0471,0.1620 ± 0.0402,0.1830 ± 0.0576,0.1726 ± 0.0538,0.1852 ± 0.0488,0.1871 ± 0.0441,0.1309 ± 0.0236,0.1758 ± 0.0636,0.2115 ± 0.0495,0.2045 ± 0.0373,0.1807 ± 0.0637,0.1884 ± 0.0660,0.2820 ± 0.1329
ECOD,0.1280,0.1487,0.1487,0.1971,0.1348,0.1300,0.0971,0.1398,0.1311,0.1080,0.1428,0.1496,0.1372,0.1194,0.1384,0.1181,0.2023,0.2193,0.2170,0.2009,0.1739,0.1120,0.1371,0.1209,0.1164,0.1448,0.1367,0.1220,0.1406,0.1277,0.1220,0.1220,0.2029,0.1929,0.1723,0.2100,0.2171,0.1954,0.1787,0.2003,0.1801,0.1676,0.1238,0.1400,0.1284,0.1239,0.1273,0.1882,0.1760,0.1647,0.2016,0.1883,0.1727,0.1933,0.1776,0.1656,0.1695,0.1283,0.1641,0.1842,0.1700,0.1622,0.1660,0.1614
IForest,0.0839 ± 0.0013,0.0633 ± 0.0002,0.1099 ± 0.0067,0.2093 ± 0.0174,0.1522 ± 0.0140,0.1113 ± 0.0133,0.1386 ± 0.0067,0.0983 ± 0.0018,0.0826 ± 0.0035,0.1036 ± 0.0005,0.0639 ± 0.0009,0.0661 ± 0.0010,0.0668 ± 0.0024,0.0886 ± 0.0063,0.0967 ± 0.0059,0.1213 ± 0.0098,0.1514 ± 0.0114,0.1605 ± 0.0086,0.1817 ± 0.0384,0.1493 ± 0.0062,0.1787 ± 0.0266,0.1142 ± 0.0061,0.0973 ± 0.0056,0.1050 ± 0.0120,0.0998 ± 0.0112,0.0773 ± 0.0054,0.0743 ± 0.0098,0.0848 ± 0.0087,0.0871 ± 0.0150,0.0972 ± 0.0156,0.0936 ± 0.0121,0.1115 ± 0.0109,0.1353 ± 0.0174,0.1285 ± 0.0173,0.1399 ± 0.0051,0.1238 ± 0.0103,0.1306 ± 0.0114,0.1222 ± 0.0104,0.1368 ± 0.0056,0.1513 ± 0.0190,0.1778 ± 0.0130,0.1310 ± 0.0137,0.0947 ± 0.0037,0.0792 ± 0.0055,0.0898 ± 0.0049,0.0834 ± 0.0077,0.0878 ± 0.0076,0.1459 ± 0.0125,0.1515 ± 0.0124,0.1566 ± 0.0164,0.1383 ± 0.0255,0.1278 ± 0.0089,0.1282 ± 0.0019,0.1447 ± 0.0073,0.1419 ± 0.0074,0.1544 ± 0.0184,0.1738 ± 0.0212,0.0851 ± 0.0085,0.1355 ± 0.0170,0.1300 ± 0.0278,0.1312 ± 0.0228,0.1292 ± 0.0301,0.1376 ± 0.0247,0.1149 ± 0.0129
SO-GAAL,0.1636,0.2692,0.2187,0.0928,0.0627,0.2285,0.0857,0.2043,0.1853,0.0971,0.2467,0.3104,0.2578,0.1331,0.2348,0.1153,0.1397,0.1569,0.1536,0.1678,0.1215,0.0993,0.2074,0.1200,0.1205,0.2135,0.2743,0.1537,0.2844,0.1587,0.1561,0.1357,0.1100,0.1141,0.0894,0.1267,0.1333,0.1395,0.0886,0.1141,0.0911,0.1148,0.1148,0.3226,0.1328,0.1367,0.1388,0.2473,0.1327,0.1700,0.1963,0.2431,0.1449,0.2447,0.1480,0.1421,0.1617,0.1276,0.1455,0.1423,0.1140,0.1306,0.1375,0.1147
AE,0.0853 ± 0.0047,0.1720 ± 0.0303,0.1137 ± 0.0073,0.2036 ± 0.0191,0.2481 ± 0.0103,0.0983 ± 0.0057,0.2348 ± 0.0287,0.0942 ± 0.0014,0.0869 ± 0.0029,0.1161 ± 0.0020,0.0822 ± 0.0013,0.1080 ± 0.0053,0.0916 ± 0.0039,0.2390 ± 0.0183,0.1009 ± 0.0021,0.1571 ± 0.0058,0.2105 ± 0.0062,0.2156 ± 0.0073,0.2225 ± 0.0043,0.2232 ± 0.0070,0.2316 ± 0.0068,0.1651 ± 0.0122,0.0923 ± 0.0051,0.1303 ± 0.0055,0.1140 ± 0.0076,0.0940 ± 0.0013,0.0847 ± 0.0026,0.1207 ± 0.0069,0.0982 ± 0.0049,0.1598 ± 0.0118,0.1821 ± 0.0164,0.1437 ± 0.0090,0.1935 ± 0.0125,0.1964 ± 0.0142,0.2117 ± 0.0016,0.1899 ± 0.0112,0.2006 ± 0.0143,0.1951 ± 0.0112,0.2161 ± 0.0025,0.2056 ± 0.0139,0.2219 ± 0.0014,0.2212 ± 0.0037,0.1174 ± 0.0081,0.0941 ± 0.0063,0.1242 ± 0.0079,0.1127 ± 0.0071,0.1389 ± 0.0078,0.2076 ± 0.0077,0.2121 ± 0.0045,0.2122 ± 0.0151,0.1968 ± 0.0136,0.2009 ± 0.0095,0.2048 ± 0.0064,0.2073 ± 0.0072,0.2151 ± 0.0027,0.2222 ± 0.0146,0.2247 ± 0.0158,0.1176 ± 0.0053,0.2015 ± 0.0093,0.1982 ± 0.0081,0.2018 ± 0.0029,0.2029 ± 0.0063,0.2091 ± 0.0089,0.2039 ± 0.0064
VAE,0.0805 ± 0.0021,0.1289 ± 0.0088,0.1012 ± 0.0074,0.2008 ± 0.0001,0.1476 ± 0.0001,0.0972 ± 0.0038,0.1637 ± 0.0070,0.0888 ± 0.0040,0.0788 ± 0.0013,0.0936 ± 0.0019,0.0784 ± 0.0009,0.0900 ± 0.0018,0.1072 ± 0.0103,0.1511 ± 0.0121,0.0944 ± 0.0011,0.1224 ± 0.0054,0.1727 ± 0.0013,0.1949 ± 0.0019,0.1898 ± 0.0032,0.1979 ± 0.0026,0.2095 ± 0.0009,0.1109 ± 0.0042,0.0825 ± 0.0002,0.0984 ± 0.0039,0.0889 ± 0.0023,0.0856 ± 0.0024,0.0800 ± 0.0009,0.0907 ± 0.0030,0.0919 ± 0.0040,0.1101 ± 0.0098,0.1176 ± 0.0108,0.1122 ± 0.0066,0.1697 ± 0.0019,0.1715 ± 0.0041,0.1783 ± 0.0120,0.1751 ± 0.0017,0.1885 ± 0.0012,0.1931 ± 0.0026,0.2103 ± 0.0024,0.1833 ± 0.0029,0.2013 ± 0.0023,0.2020 ± 0.0039,0.0909 ± 0.0016,0.0850 ± 0.0007,0.0938 ± 0.0045,0.0871 ± 0.0059,0.1050 ± 0.0037,0.1602 ± 0.0020,0.1740 ± 0.0030,0.1780 ± 0.0031,0.1625 ± 0.0058,0.1675 ± 0.0028,0.1809 ± 0.0055,0.1794 ± 0.0052,0.1941 ± 0.0063,0.2044 ± 0.0058,0.1948 ± 0.0036,0.0944 ± 0.0045,0.1726 ± 0.0007,0.1608 ± 0.0056,0.1757 ± 0.0017,0.1773 ± 0.0034,0.1939 ± 0.0021,0.1599 ± 0.0024
LUNAR,0.0703,0.0708,0.0888,0.2188,0.2015,0.0751,0.2750,0.0769,0.0709,0.1165,0.0698,0.0817,0.0717,0.2545,0.0816,0.1762,0.2060,0.2201,0.2299,0.2195,0.2462,0.2031,0.0745,0.1215,0.1062,0.0741,0.0701,0.1128,0.0791,0.1638,0.1845,0.1483,0.2085,0.1989,0.2277,0.1994,0.2254,0.2200,0.2457,0.2248,0.2546,0.2424,0.1087,0.0732,0.1131,0.1031,0.1429,0.1936,0.2230,0.2154,0.1933,0.1875,0.2194,0.2135,0.2457,0.2402,0.2414,0.1061,0.2167,0.1854,0.2113,0.2129,0.2403,0.2037
