dataset,detector,feature,coef,std_err,ci95_low,ci95_high,t_stat,p_value,p_value_fdr,sig
bbc,SO-GAAL,head_entropy,0.0667,0.017,0.0334,0.1001,3.9218,0.0001,0.0003,+
bbc,SO-GAAL,diag_mean,-0.0012,0.0177,-0.0358,0.0334,-0.0687,0.9452,0.9585,
bbc,AE,cls_token_pca,0.2216,0.0062,0.2094,0.2338,35.6078,0.0,0.0,+
bbc,AE,cls_mean,-0.0039,0.006,-0.0157,0.0078,-0.6541,0.513,0.6208,
bbc,AE,cls_max,-0.0127,0.0062,-0.0249,-0.0005,-2.0374,0.0416,0.081,
bbc,AE,cls_std,-0.0221,0.0061,-0.034,-0.0102,-3.6311,0.0003,0.0008,-
bbc,AE,head_entropy,0.0081,0.0061,-0.004,0.0201,1.3144,0.1887,0.2773,
bbc,AE,diag_mean,0.0361,0.0062,0.0239,0.0482,5.813,0.0,0.0,+
bbc,VAE,cls_token_pca,0.2315,0.0053,0.2212,0.2419,43.9281,0.0,0.0,+
bbc,VAE,cls_mean,-0.0044,0.0051,-0.0144,0.0056,-0.8603,0.3896,0.5065,
bbc,VAE,cls_max,-0.0022,0.0053,-0.0126,0.0082,-0.4117,0.6806,0.784,
bbc,VAE,cls_std,-0.0215,0.0052,-0.0318,-0.0112,-4.101,0.0,0.0001,-
bbc,VAE,head_entropy,-0.0134,0.0051,-0.0234,-0.0034,-2.6165,0.0089,0.0191,-
bbc,VAE,diag_mean,0.0113,0.0053,0.001,0.0217,2.1405,0.0323,0.0646,
bbc,LUNAR,cls_token_pca,0.2534,0.0069,0.2398,0.2669,36.6553,0.0,0.0,+
bbc,LUNAR,cls_mean,-0.0027,0.0068,-0.0161,0.0106,-0.3998,0.6893,0.7877,
bbc,LUNAR,cls_max,-0.0224,0.0069,-0.0358,-0.009,-3.2673,0.0011,0.0027,-
bbc,LUNAR,cls_std,-0.0216,0.0068,-0.0349,-0.0083,-3.1896,0.0014,0.0034,-
bbc,LUNAR,head_entropy,0.0119,0.0069,-0.0018,0.0255,1.7073,0.0878,0.1487,
bbc,LUNAR,diag_mean,0.0328,0.0069,0.0192,0.0464,4.7388,0.0,0.0,+
